Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-0.680000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,-5.51875000e-03,3.04687500e-03,3.60625000e-03
-9.79412500e-08,-5.50000000e-03,3.05156250e-03,3.66875000e-03
-9.79012500e-08,-5.48750000e-03,3.05312500e-03,3.72812500e-03
-9.78612500e-08,-5.47812500e-03,3.05312500e-03,3.78125000e-03
-9.78212500e-08,-5.47500000e-03,3.05000000e-03,3.82812500e-03
-9.77812500e-08,-5.47500000e-03,3.04531250e-03,3.86250000e-03
-9.77412500e-08,-5.48437500e-03,3.03750000e-03,3.88750000e-03
-9.77012500e-08,-5.49687500e-03,3.02812500e-03,3.90000000e-03
-9.76612500e-08,-5.51562500e-03,3.01718750e-03,3.89687500e-03
-9.76212500e-08,-5.53750000e-03,3.00312500e-03,3.88437500e-03
-9.75812500e-08,-5.56250000e-03,2.98750000e-03,3.85625000e-03
-9.75412500e-08,-5.58750000e-03,2.97187500e-03,3.81562500e-03
-9.75012500e-08,-5.61562500e-03,2.95625000e-03,3.76562500e-03
-9.74612500e-08,-5.64062500e-03,2.93906250e-03,3.70312500e-03
-9.74212500e-08,-5.66250000e-03,2.92343750e-03,3.63125000e-03
-9.73812500e-08,-5.67812500e-03,2.90781250e-03,3.55312500e-03
-9.73412500e-08,-5.69062500e-03,2.89375000e-03,3.47187500e-03
-9.73012500e-08,-5.69375000e-03,2.88281250e-03,3.38750000e-03
-9.72612500e-08,-5.69062500e-03,2.87187500e-03,3.30312500e-03
-9.72212500e-08,-5.67812500e-03,2.86406250e-03,3.22187500e-03
-9.71812500e-08,-5.65625000e-03,2.85937500e-03,3.14375000e-03
-9.71412500e-08,-5.62500000e-03,2.85625000e-03,3.07500000e-03
-9.71012500e-08,-5.58750000e-03,2.85468750e-03,3.01562500e-03
-9.70612500e-08,-5.54062500e-03,2.85625000e-03,2.96562500e-03
-9.70212500e-08,-5.48437500e-03,2.85937500e-03,2.92812500e-03
-9.69812500e-08,-5.42500000e-03,2.86562500e-03,2.90312500e-03
-9.69412500e-08,-5.35937500e-03,2.87187500e-03,2.89062500e-03
-9.69012500e-08,-5.29062500e-03,2.87812500e-03,2.89062500e-03
-9.68612500e-08,-5.22187500e-03,2.88593750e-03,2.90312500e-03
-9.68212500e-08,-5.15000000e-03,2.89375000e-03,2.92500000e-03
-9.67812500e-08,-5.08125000e-03,2.90156250e-03,2.95625000e-03
-9.67412500e-08,-5.01562500e-03,2.90937500e-03,2.99375000e-03
-9.67012500e-08,-4.95000000e-03,2.91406250e-03,3.04062500e-03
-9.66612500e-08,-4.89375000e-03,2.91875000e-03,3.09062500e-03
-9.66212500e-08,-4.84062500e-03,2.92187500e-03,3.14375000e-03
-9.65812500e-08,-4.79062500e-03,2.92187500e-03,3.19687500e-03
-9.65412500e-08,-4.75312500e-03,2.92187500e-03,3.25000000e-03
-9.65012500e-08,-4.71875000e-03,2.91875000e-03,3.30000000e-03
-9.64612500e-08,-4.69062500e-03,2.91406250e-03,3.34687500e-03
-9.64212500e-08,-4.67187500e-03,2.90937500e-03,3.39062500e-03
-9.63812500e-08,-4.65937500e-03,2.90156250e-03,3.42812500e-03
-9.63412500e-08,-4.65312500e-03,2.89375000e-03,3.45937500e-03
-9.63012500e-08,-4.65312500e-03,2.88593750e-03,3.48437500e-03
-9.62612500e-08,-4.65625000e-03,2.87656250e-03,3.50312500e-03
-9.62212500e-08,-4.66562500e-03,2.86718750e-03,3.51875000e-03
-9.61812500e-08,-4.67812500e-03,2.85781250e-03,3.52812500e-03
-9.61412500e-08,-4.69375000e-03,2.85000000e-03,3.53125000e-03
-9.61012500e-08,-4.71250000e-03,2.84218750e-03,3.53437500e-03
-9.60612500e-08,-4.73125000e-03,2.83593750e-03,3.53125000e-03
-9.60212500e-08,-4.75000000e-03,2.82968750e-03,3.52812500e-03
-9.59812500e-08,-4.76875000e-03,2.82656250e-03,3.52187500e-03
-9.59412500e-08,-4.78750000e-03,2.82343750e-03,3.51562500e-03
-9.59012500e-08,-4.80312500e-03,2.82187500e-03,3.50937500e-03
-9.58612500e-08,-4.81562500e-03,2.82187500e-03,3.50312500e-03
-9.58212500e-08,-4.82500000e-03,2.82187500e-03,3.49687500e-03
-9.57812500e-08,-4.83125000e-03,2.82343750e-03,3.49062500e-03
-9.57412500e-08,-4.83437500e-03,2.82656250e-03,3.48437500e-03
-9.57012500e-08,-4.83125000e-03,2.82968750e-03,3.47500000e-03
-9.56612500e-08,-4.82500000e-03,2.83281250e-03,3.46875000e-03
-9.56212500e-08,-4.81562500e-03,2.83593750e-03,3.45937500e-03
-9.55812500e-08,-4.80000000e-03,2.83906250e-03,3.45000000e-03
-9.55412500e-08,-4.78437500e-03,2.84062500e-03,3.43750000e-03
-9.55012500e-08,-4.76562500e-03,2.84218750e-03,3.42187500e-03
-9.54612500e-08,-4.74687500e-03,2.84375000e-03,3.40625000e-03
-9.54212500e-08,-4.72812500e-03,2.84375000e-03,3.39062500e-03
-9.53812500e-08,-4.71250000e-03,2.84218750e-03,3.36875000e-03
-9.53412500e-08,-4.69687500e-03,2.83906250e-03,3.35000000e-03
-9.53012500e-08,-4.68437500e-03,2.83437500e-03,3.32500000e-03
-9.52612500e-08,-4.67812500e-03,2.82812500e-03,3.30312500e-03
-9.52212500e-08,-4.67500000e-03,2.82187500e-03,3.27812500e-03
-9.51812500e-08,-4.67812500e-03,2.81250000e-03,3.25312500e-03
-9.51412500e-08,-4.68750000e-03,2.80156250e-03,3.23125000e-03
-9.51012500e-08,-4.70000000e-03,2.79062500e-03,3.20937500e-03
