Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-2.780000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,-8.25312500e-04,3.57968750e-03,4.07500000e-03
-9.79412500e-08,-8.35937500e-04,3.55468750e-03,4.05312500e-03
-9.79012500e-08,-8.46562500e-04,3.52187500e-03,4.03125000e-03
-9.78612500e-08,-8.56875000e-04,3.48437500e-03,4.00937500e-03
-9.78212500e-08,-8.66250000e-04,3.44375000e-03,3.98750000e-03
-9.77812500e-08,-8.74375000e-04,3.40000000e-03,3.96875000e-03
-9.77412500e-08,-8.80312500e-04,3.35468750e-03,3.95312500e-03
-9.77012500e-08,-8.84375000e-04,3.31093750e-03,3.94062500e-03
-9.76612500e-08,-8.86250000e-04,3.27031250e-03,3.93437500e-03
-9.76212500e-08,-8.85625000e-04,3.23281250e-03,3.93125000e-03
-9.75812500e-08,-8.82500000e-04,3.20156250e-03,3.93437500e-03
-9.75412500e-08,-8.77187500e-04,3.17656250e-03,3.94062500e-03
-9.75012500e-08,-8.70000000e-04,3.16093750e-03,3.95000000e-03
-9.74612500e-08,-8.61250000e-04,3.15312500e-03,3.95937500e-03
-9.74212500e-08,-8.51250000e-04,3.15312500e-03,3.97500000e-03
-9.73812500e-08,-8.40625000e-04,3.16250000e-03,3.99062500e-03
-9.73412500e-08,-8.30000000e-04,3.17968750e-03,4.00625000e-03
-9.73012500e-08,-8.19687500e-04,3.20312500e-03,4.01875000e-03
-9.72612500e-08,-8.10312500e-04,3.23437500e-03,4.03125000e-03
-9.72212500e-08,-8.02187500e-04,3.27031250e-03,4.04062500e-03
-9.71812500e-08,-7.95625000e-04,3.30781250e-03,4.04687500e-03
-9.71412500e-08,-7.90937500e-04,3.34843750e-03,4.05312500e-03
-9.71012500e-08,-7.88125000e-04,3.38750000e-03,4.05312500e-03
